@tick,ticktime
180,1.1717584E7
181,1.28735E7
182,1.2135291E7
183,1.2137042E7
184,1.021E7
185,1.2444375E7
186,2.1585125E7
187,1.0219666E7
188,2.9596125E7
189,1.2016417E7
190,1.1518458E7
191,1.3719125E7
192,1.1658959E7
193,1.0083375E7
194,1.0936208E7
195,2.8997167E7
196,1.6722958E7
197,1.2471709E7
198,1.3106792E7
199,1.2067166E7
200,1.2196916E7
201,1.1029167E7
202,1.3371167E7
203,1.2648167E7
204,1.9381458E7
205,1.5028542E7
206,1.5454875E7
207,1.2564083E7
208,1.195025E7
209,1.4970917E7
210,1.5576042E7
211,1.2569667E7
212,1.651225E7
213,2.8538083E7
214,1.2875875E7
215,1.4299834E7
216,1.1316791E7
217,2.8047292E7
218,1.8218375E7
219,1.48735E7
220,1.2750292E7
221,1.3472875E7
222,2.1500208E7
223,1.15985E7
224,1.3710083E7
225,1.4070792E7
226,1.2206041E7
227,1.6573375E7
228,1.3519666E7
229,1.1071417E7
230,1.3373375E7
231,1.65005E7
232,1.6829458E7
233,1.4672916E7
234,1.3917791E7
235,1.3953334E7
236,1.0397083E7
237,1.3220083E7
238,2.9234667E7
239,1.65495E7
240,1.3456041E7
241,1.4208625E7
242,1.1393417E7
243,2.7622084E7
244,1.3945542E7
245,1.3255625E7
246,1.0607125E7
247,1.5716333E7
248,1.2623375E7
249,1.0833375E7
250,1.0670792E7
251,1.8302916E7
252,1.4326459E7
253,1.2330917E7
254,1.0740458E7
255,1.2984041E7
256,1.363775E7
257,1.2720458E7
258,1.0918334E7
259,1.3482625E7
260,1.2825833E7
261,1.1953208E7
262,1.0874E7
263,1.2935292E7
264,1.3754875E7
265,1.2180208E7
266,1.0932458E7
267,1.3303667E7
268,1.3016208E7
269,1.2487584E7
270,1.060075E7
271,1.3301791E7
272,1.3191209E7
273,1.2706875E7
274,1.1186375E7
275,1.3510708E7
276,1.2976E7
277,1.7547209E7
278,1.6040875E7
279,2.8865666E7
280,1.2891417E7
281,1.3967834E7
282,1.1783542E7
283,1.0842167E7
284,1.1265125E7
285,1.3385667E7
286,1.3196084E7
287,1.2132959E7
288,1.1633541E7
289,1.4002542E7
290,1.1921709E7
291,1.2300333E7
292,1.0329583E7
293,1.2760875E7
294,1.8071292E7
295,1.287175E7
296,1.6444084E7
297,1.2389292E7
298,1.4958208E7
299,1.2638584E7
300,1.422875E7
301,1.27935E7
302,2.8843375E7
303,1.6280708E7
304,1.1876208E7
305,1.0686833E7
306,1.98215E7
307,1.196275E7
308,1.216325E7
309,1.1340208E7
310,1.327E7
311,1.7956167E7
312,1.1919959E7
313,1.6820125E7
314,2.861025E7
315,1.153075E7
316,1.3468875E7
317,1.2460833E7
318,1.2124958E7
319,1.1386333E7
320,1.4827417E7
321,1.1897209E7
322,1.1698417E7
323,1.1389667E7
324,1.4358042E7
325,1.226525E7
326,1.1888084E7
327,1.2708666E7
328,1.4778916E7
329,1.2721875E7
330,1.385375E7
331,1.8526916E7
332,1.5124417E7
333,1.198275E7
334,1.16865E7
335,1.4404916E7
336,2.0040834E7
337,1.0863E7
